Cluster	0H	0.5H	2H	4H	24H
C23	73.80	98.60	78.1	86.8	93
C5	110.40	140.80	84.6	133.8	100.6
C5	113.00	145.80	84.6	150.8	103.5
C5	126.40	33.20	65	60.9	99.4
C5	156.80	73.80	93	72.8	144.7
C5	219.90	110.40	148.5	108	200.2
C5	172.60	91.80	107.1	101.5	156
C5	319.60	213.60	249.8	280.8	312.8
C5	220.80	119.60	223.9	173	220.2
C26	77.80	113.00	139.2	98.9	102.5
C26	58.10	98.60	128.5	54.4	69.2
C40	149.60	209.00	185	166.4	149.2
C47	32.40	37.10	30	32.8	30
C12	22.60	25.30	40.2	45.4	31.9
C8	131.20	258.60	258.6	211.4	135.9
C8	103.10	249.10	248.8	219.9	126.3
C30	128.50	136.20	113.4	119.6	112.8
C8	160.80	535.60	451.2	498.3	211.6
C8	104.80	182.80	174	144.7	112.2
C12	25.80	25.30	42.6	42.6	33.2
C6	737.20	442.40	427	323.6	722
C28	164.60	96.60	91.4	116.1	144.7
C28	216.60	179.60	154.6	241.6	202.4
C20	114.00	241.00	370.6	178.9	146.8
C20	109.00	231.60	355.6	219.9	143.6
C25	119.60	176.50	174	264.2	154.4
C27	346.20	235.80	269	178.9	354.8
C13	51.30	77.20	74.5	72.8	59.8
C13	91.40	116.90	80.7	98.9	99.4
C13	56.90	83.00	102	66.6	58.4
C13	146.80	182.80	145	126.4	180.8
C13	114.80	152.60	116.6	126.4	135.2
C13	179.60	267.40	181.1	241.6	202.8
C13	80.70	103.70	66.8	91.8	87.8
C13	116.40	126.20	119.4	173	128.8
C9	61.00	54.40	40.2	58.4	60.9
C9	58.10	39.00	38.6	26.4	46.6
C9	98.00	83.00	88.3	72.8	95.6
C9	139.40	94.00	85.8	45.4	124.2
C9	95.60	59.00	49.2	29.7	81.2
C11	84.10	88.60	51.6	91.8	78.1
C22	59.80	115.30	96.3	144.7	64.9
C22	67.00	121.60	102	133.8	59.8
C22	53.30	80.20	59.6	82.5	45.4
C22	50.00	75.60	63	60.9	48.6
C3	51.30	65.00	91.4	98.9	63.5
C25	154.10	358.20	362.4	550.8	185
C25	80.70	140.80	119.4	144.7	76.2
C25	201.00	445.60	410.6	962	235.2
C30	59.80	40.40	48	32.8	39.8
