Cluster	0.5 hours Up	0.5 hours Down	2 hours Up	2 hours Down	4 hours Up	4 hours Down
cluster_33	-0.03	-0.08	-0.06	-0.03	-0.09	-0.04
cluster_5	-0.02	-0.11	-0.09	-0.01	-0.04	-0.03
cluster_7	-0.22	-0.25	-0.29	-0.24	-0.29	-0.23
cluster_6	-0.04	-0.05	-0.06	-0.09	-0.11	-0.04
cluster_12	-0.14	-0.15	-0.10	-0.12	-0.18	-0.13
cluster_5	-0.05	-0.13	-0.09	-0.03	-0.06	-0.06
cluster_29	0.00	0.00	-0.02	0.00	-0.01	0.00
cluster_13	-0.22	-0.32	-0.25	-0.21	-0.33	-0.20
cluster_13	-0.08	-0.21	-0.12	-0.09	-0.17	-0.12
cluster_23	-0.10	-0.13	-0.13	-0.13	-0.13	-0.14
cluster_1	0.05	0.04	0.03	0.11	0.10	0.02
cluster_6	-0.06	-0.05	-0.07	-0.05	-0.07	-0.02
cluster_5	-0.01	-0.15	-0.13	0.04	-0.04	0.02
cluster_2	0.21	-0.06	-0.08	-0.16	-0.07	0.20
cluster_1	-0.04	-0.22	-0.03	-0.03	-0.05	-0.05
cluster_14	-0.15	-0.24	-0.11	-0.12	-0.29	-0.06
cluster_14	-0.16	-0.16	-0.15	-0.07	-0.22	-0.16
cluster_14	-0.19	-0.24	-0.16	-0.18	-0.32	-0.13
cluster_14	-0.13	-0.19	-0.12	-0.11	-0.29	-0.08
cluster_14	-0.09	-0.30	-0.07	-0.07	-0.13	-0.08
cluster_14	-0.15	-0.17	-0.13	-0.19	-0.25	-0.10
cluster_14	-0.15	0.01	-0.08	-0.15	-0.18	-0.12
cluster_18	-0.19	-0.23	-0.23	-0.20	-0.30	-0.22
cluster_18	-0.12	-0.14	-0.09	-0.12	-0.16	-0.13
cluster_18	-0.07	-0.12	-0.15	-0.11	-0.26	-0.12
cluster_36	-0.17	-0.13	-0.19	-0.13	-0.16	-0.12
cluster_15	-0.10	-0.09	-0.07	-0.11	-0.13	-0.07
cluster_6	-0.06	-0.13	-0.06	-0.10	-0.16	-0.03
cluster_2	0.11	0.12	0.11	0.09	0.12	0.10
cluster_1	0.00	0.03	0.04	0.05	0.03	-0.07
cluster_2	0.09	0.09	0.05	0.11	0.13	0.12
cluster_2	0.13	0.16	0.12	0.13	0.18	0.13
cluster_2	0.13	0.12	0.08	0.12	0.14	0.13
cluster_1	-0.06	-0.08	-0.03	-0.03	-0.06	-0.03
cluster_19	-0.12	-0.16	-0.13	-0.07	-0.18	-0.12
cluster_19	0.08	0.02	0.06	0.07	0.01	0.08
cluster_19	0.04	0.05	0.05	0.02	0.01	0.05
cluster_19	0.08	0.02	0.04	0.05	0.02	0.06
cluster_19	0.07	0.03	0.06	0.04	0.04	0.07
cluster_19	-0.07	-0.09	-0.08	-0.11	-0.15	-0.05
cluster_5	0.02	-0.07	-0.05	0.03	-0.02	0.00
cluster_1	0.00	-0.01	0.01	0.05	-0.01	-0.02
cluster_1	0.02	0.00	0.03	0.05	0.04	0.02
cluster_1	0.01	-0.01	0.00	0.04	0.04	0.00
cluster_1	0.01	-0.02	0.00	0.04	-0.01	0.01
cluster_1	0.00	0.03	0.01	0.05	0.05	-0.01
cluster_1	-0.11	-0.13	-0.08	-0.03	-0.13	-0.09
cluster_15	0.03	0.01	0.04	0.03	0.01	0.04
cluster_15	-0.05	-0.02	0.00	-0.06	-0.06	0.02
cluster_15	-0.05	-0.06	-0.06	-0.06	-0.11	-0.03
cluster_7	-0.18	-0.17	-0.14	-0.20	-0.20	-0.16
cluster_5	-0.02	-0.11	-0.09	-0.01	-0.04	-0.03
cluster_4	-0.15	-0.07	-0.06	-0.15	-0.13	-0.13
cluster_4	-0.15	-0.04	-0.03	-0.16	-0.08	-0.15
cluster_4	-0.14	-0.05	-0.07	-0.11	-0.12	-0.15
cluster_4	-0.13	-0.09	-0.11	-0.10	-0.13	-0.15
cluster_4	-0.17	-0.05	-0.06	-0.17	-0.13	-0.16
cluster_4	-0.13	0.06	0.07	-0.14	0.01	-0.09
cluster_4	-0.15	-0.09	-0.11	-0.11	-0.13	-0.21
cluster_4	-0.12	-0.03	-0.02	-0.12	-0.09	-0.11
cluster_4	-0.11	-0.12	-0.03	-0.11	-0.19	-0.10
cluster_4	-0.18	-0.04	-0.08	-0.19	-0.13	-0.19
cluster_4	-0.13	-0.01	-0.04	-0.15	-0.10	-0.12
cluster_4	-0.15	-0.03	-0.03	-0.16	-0.11	-0.12
cluster_4	-0.12	-0.03	-0.03	-0.11	-0.10	-0.12
cluster_4	-0.15	-0.04	-0.05	-0.13	-0.11	-0.13
cluster_4	-0.15	-0.06	-0.06	-0.10	-0.12	-0.15
cluster_4	-0.14	-0.13	-0.12	-0.11	-0.18	-0.11
cluster_4	-0.12	-0.17	-0.15	-0.10	-0.13	-0.17
cluster_4	-0.15	-0.04	-0.06	-0.14	-0.08	-0.15
cluster_4	-0.15	-0.05	-0.03	-0.16	-0.09	-0.14
cluster_1	-0.13	0.04	0.03	0.06	-0.09	-0.11
cluster_1	-0.54	-0.27	-0.13	-0.03	-0.51	-0.03
cluster_1	0.06	0.08	0.09	0.07	0.08	0.06
cluster_1	-0.13	0.04	0.03	0.06	-0.09	-0.11
cluster_8	-0.14	-0.11	-0.11	-0.14	-0.11	-0.14
cluster_8	-0.10	-0.09	-0.09	-0.08	-0.10	-0.10
cluster_8	-0.10	-0.08	-0.08	-0.09	-0.10	-0.09
cluster_8	-0.14	-0.10	-0.12	-0.12	-0.15	-0.14
cluster_8	-0.12	-0.08	-0.10	-0.14	-0.13	-0.11
cluster_20	-0.08	-0.08	-0.06	-0.06	-0.10	-0.10
cluster_20	-0.08	-0.06	-0.07	-0.07	-0.08	-0.10
cluster_13	-0.14	-0.13	-0.14	-0.14	-0.13	-0.14
cluster_11	-0.05	-0.05	-0.07	-0.03	-0.08	-0.07
cluster_13	-0.04	-0.05	-0.07	-0.06	-0.07	-0.10
cluster_13	-0.09	-0.08	-0.07	-0.10	-0.08	-0.08
cluster_13	-0.12	-0.10	-0.08	-0.12	-0.09	-0.14
cluster_13	-0.11	-0.09	-0.09	-0.09	-0.11	-0.12
cluster_9	-0.17	-0.16	-0.10	-0.22	-0.23	-0.11
cluster_9	-0.27	-0.23	-0.25	-0.26	-0.27	-0.22
cluster_9	-0.03	-0.07	-0.05	-0.07	-0.06	0.01
cluster_9	-0.13	-0.15	-0.14	-0.17	-0.17	-0.11
cluster_9	-0.02	-0.08	-0.08	-0.02	-0.13	-0.04
cluster_9	-0.15	-0.18	-0.18	-0.18	-0.19	-0.14
cluster_9	-0.13	-0.18	-0.17	-0.13	-0.24	-0.15
cluster_9	-0.26	-0.22	-0.23	-0.27	-0.27	-0.21
cluster_9	-0.04	-0.10	-0.10	0.00	-0.13	-0.09
cluster_9	-0.19	-0.19	-0.17	-0.21	-0.22	-0.18
cluster_9	-0.10	-0.14	-0.09	-0.15	-0.20	-0.06
cluster_9	-0.18	-0.19	-0.17	-0.19	-0.21	-0.16
cluster_9	-0.12	-0.21	-0.24	-0.16	-0.23	-0.14
cluster_3	-0.12	-0.09	-0.04	-0.12	-0.16	-0.13
cluster_3	-0.12	-0.08	-0.04	-0.12	-0.15	-0.12
cluster_3	-0.12	-0.07	-0.04	-0.12	-0.14	-0.13
cluster_3	-0.11	-0.07	-0.03	-0.11	-0.14	-0.12
cluster_22	-0.10	-0.12	-0.13	-0.06	-0.15	-0.14
cluster_3	-0.12	-0.07	-0.03	-0.13	-0.15	-0.10
cluster_22	-0.10	-0.06	-0.08	-0.08	-0.09	-0.12
cluster_22	-0.09	-0.12	-0.14	-0.05	-0.10	-0.10
cluster_3	-0.12	-0.08	-0.04	-0.14	-0.14	-0.11
cluster_3	-0.12	-0.07	-0.04	-0.12	-0.15	-0.12
cluster_22	-0.09	-0.11	-0.11	-0.04	-0.14	-0.14
cluster_22	-0.09	-0.07	-0.10	-0.08	-0.09	-0.11
cluster_22	-0.09	-0.09	-0.13	-0.05	-0.10	-0.09
cluster_22	-0.11	-0.14	-0.12	-0.10	-0.14	-0.12
cluster_22	-0.09	-0.06	-0.07	-0.06	-0.08	-0.10
cluster_27	0.01	0.03	0.05	0.01	0.06	-0.05
cluster_12	-0.07	-0.09	-0.03	-0.06	-0.11	-0.08
cluster_21	-0.11	-0.09	-0.08	-0.11	-0.14	-0.09
cluster_21	-0.12	-0.09	-0.12	-0.14	-0.13	-0.11
cluster_46	-0.12	-0.08	-0.11	-0.10	-0.14	-0.08
cluster_21	-0.12	-0.09	-0.10	-0.12	-0.10	-0.12
cluster_21	-0.06	-0.05	-0.03	-0.09	-0.07	-0.03
cluster_21	-0.08	-0.05	-0.05	-0.10	-0.07	-0.07
cluster_6	0.00	0.01	0.03	-0.01	-0.02	-0.01
cluster_5	-0.02	-0.12	-0.09	-0.03	-0.07	-0.05
cluster_26	-0.08	-0.05	-0.02	-0.08	-0.12	-0.05
cluster_12	0.00	0.00	0.01	-0.01	0.02	0.01
cluster_12	-0.09	-0.14	-0.12	-0.08	-0.16	-0.12
cluster_12	-0.02	-0.04	-0.05	-0.01	-0.06	-0.06
cluster_12	-0.01	-0.01	0.00	-0.01	0.03	-0.02
cluster_12	-0.04	-0.10	-0.08	-0.03	-0.08	-0.06
cluster_41	-0.01	-0.03	-0.02	0.00	-0.02	-0.05
cluster_12	-0.01	-0.01	-0.02	-0.03	-0.01	-0.07
cluster_6	0.10	0.11	0.09	0.09	0.12	0.10
cluster_6	-0.04	-0.06	-0.05	-0.05	-0.06	0.00
cluster_6	-0.05	-0.06	-0.03	-0.05	-0.07	-0.01
cluster_10	0.08	0.09	0.08	0.07	0.10	0.07
cluster_6	0.07	0.08	0.07	0.05	0.09	0.04
cluster_10	0.16	0.17	0.14	0.16	0.20	0.14
cluster_10	0.09	0.12	0.10	0.08	0.14	0.09
cluster_6	-0.06	-0.05	-0.04	-0.07	-0.08	-0.04
cluster_6	-0.04	-0.05	-0.05	-0.05	-0.06	-0.02
cluster_10	0.14	0.16	0.13	0.15	0.19	0.13
cluster_10	0.08	0.11	0.09	0.08	0.13	0.10
cluster_6	-0.01	-0.01	0.00	-0.01	-0.03	0.01
cluster_10	0.14	0.16	0.13	0.14	0.18	0.12
cluster_6	0.05	0.06	0.04	0.03	0.06	0.04
cluster_6	-0.01	-0.01	-0.01	-0.03	-0.03	0.00
cluster_10	0.14	0.15	0.13	0.15	0.17	0.12
cluster_10	0.12	0.12	0.10	0.12	0.15	0.12
cluster_6	0.10	0.11	0.08	0.10	0.13	0.11
cluster_6	0.08	0.06	0.09	0.09	0.08	0.10
cluster_28	-0.12	-0.16	-0.16	-0.14	-0.19	-0.15
cluster_10	0.13	0.14	0.13	0.13	0.17	0.13
cluster_6	0.10	0.12	0.11	0.08	0.13	0.10
cluster_6	0.05	0.02	0.04	0.03	0.03	0.05
cluster_10	0.14	0.15	0.14	0.15	0.17	0.14
cluster_10	0.14	0.15	0.13	0.13	0.17	0.13
cluster_6	-0.02	-0.02	-0.01	-0.04	-0.03	0.00
cluster_10	0.09	0.11	0.08	0.09	0.13	0.07
cluster_6	0.00	0.01	0.01	0.00	-0.01	0.03
cluster_10	0.16	0.18	0.16	0.17	0.20	0.16
cluster_2	0.13	0.15	0.13	0.13	0.17	0.13
cluster_10	0.15	0.16	0.14	0.15	0.19	0.14
cluster_10	0.16	0.17	0.14	0.15	0.20	0.15
cluster_10	0.09	0.09	0.08	0.08	0.11	0.08
cluster_6	0.04	0.03	0.04	0.02	0.02	0.04
cluster_10	0.10	0.12	0.11	0.10	0.15	0.09
cluster_6	0.04	0.03	0.04	0.04	0.04	0.05
cluster_10	0.16	0.17	0.15	0.15	0.21	0.15
cluster_6	-0.06	-0.04	-0.02	-0.06	-0.06	-0.05
cluster_10	0.09	0.11	0.10	0.09	0.13	0.11
cluster_10	0.16	0.17	0.14	0.16	0.20	0.15
cluster_10	0.14	0.16	0.14	0.15	0.19	0.13
cluster_6	0.07	0.06	0.07	0.05	0.07	0.10
cluster_6	0.06	0.06	0.06	0.04	0.06	0.06
cluster_10	0.10	0.10	0.10	0.09	0.12	0.11
cluster_10	0.13	0.13	0.10	0.12	0.15	0.10
cluster_10	0.14	0.15	0.14	0.15	0.18	0.12
cluster_6	0.09	0.09	0.08	0.08	0.11	0.09
cluster_10	0.14	0.15	0.13	0.14	0.18	0.12
cluster_6	0.06	0.05	0.06	0.06	0.06	0.07
cluster_10	0.15	0.16	0.16	0.14	0.18	0.16
cluster_8	0.17	0.20	0.19	0.16	0.17	0.18
cluster_8	-0.14	-0.11	-0.11	-0.13	-0.16	-0.12
cluster_7	-0.04	-0.07	-0.05	-0.03	-0.11	-0.04
cluster_8	-0.14	-0.13	-0.13	-0.13	-0.15	-0.11
cluster_7	-0.09	-0.12	-0.09	-0.08	-0.12	-0.09
cluster_8	-0.14	-0.11	-0.11	-0.13	-0.14	-0.11
cluster_8	-0.10	-0.09	-0.10	-0.10	-0.13	-0.08
cluster_8	0.20	0.23	0.22	0.20	0.21	0.23
cluster_7	-0.10	-0.13	-0.12	-0.12	-0.15	-0.11
cluster_7	-0.11	-0.14	-0.13	-0.11	-0.17	-0.12
cluster_8	-0.13	-0.11	-0.10	-0.12	-0.16	-0.11
cluster_8	-0.15	-0.13	-0.13	-0.16	-0.16	-0.13
cluster_8	-0.13	-0.11	-0.11	-0.12	-0.15	-0.11
cluster_7	-0.13	-0.13	-0.12	-0.13	-0.14	-0.12
cluster_8	-0.12	-0.08	-0.08	-0.14	-0.12	-0.09
cluster_1	-0.03	-0.02	0.01	-0.02	0.00	-0.05
cluster_1	-0.06	-0.09	-0.09	-0.04	-0.06	-0.09
cluster_1	-0.03	-0.04	-0.04	0.03	-0.02	-0.04
cluster_1	-0.03	-0.06	-0.04	0.02	-0.02	-0.02
cluster_1	-0.04	-0.05	-0.01	-0.02	-0.05	-0.01
cluster_1	-0.01	-0.01	0.02	0.02	0.01	0.00
cluster_1	0.00	0.00	0.04	0.03	0.04	0.02
cluster_1	-0.02	-0.04	0.00	0.00	-0.02	-0.01
cluster_1	-0.05	-0.08	-0.06	-0.03	-0.09	-0.05
cluster_1	-0.05	-0.09	-0.05	-0.03	-0.07	-0.08
cluster_14	-0.11	-0.14	-0.15	-0.09	-0.25	-0.11
cluster_14	-0.14	-0.13	-0.13	-0.14	-0.19	-0.14
cluster_14	-0.12	-0.18	-0.15	-0.10	-0.20	-0.10
cluster_4	-0.12	-0.01	-0.01	-0.09	-0.07	-0.12
cluster_4	-0.14	-0.05	-0.03	-0.13	-0.13	-0.14
cluster_4	-0.14	-0.03	-0.07	-0.12	-0.08	-0.13
cluster_4	-0.16	-0.04	-0.04	-0.15	-0.12	-0.16
cluster_4	-0.13	-0.03	-0.01	-0.12	-0.10	-0.14
cluster_4	-0.14	-0.02	-0.04	-0.14	-0.07	-0.13
cluster_4	-0.13	-0.01	-0.05	-0.12	-0.09	-0.13
cluster_4	-0.14	-0.03	-0.03	-0.14	-0.11	-0.14
cluster_4	-0.16	-0.04	-0.04	-0.15	-0.13	-0.17
cluster_4	-0.15	-0.02	-0.05	-0.14	-0.11	-0.15
cluster_4	-0.12	-0.03	-0.05	-0.10	-0.10	-0.13
cluster_4	-0.15	-0.03	-0.03	-0.13	-0.13	-0.15
cluster_4	-0.14	-0.03	-0.05	-0.13	-0.08	-0.15
cluster_4	-0.15	-0.03	-0.04	-0.12	-0.11	-0.14
cluster_4	-0.13	-0.01	-0.06	-0.13	-0.10	-0.13
cluster_4	-0.13	-0.03	-0.02	-0.12	-0.08	-0.12
cluster_4	-0.18	-0.05	-0.08	-0.17	-0.10	-0.17
cluster_4	-0.10	-0.04	-0.03	-0.09	-0.09	-0.08
cluster_4	-0.13	-0.04	-0.02	-0.12	-0.12	-0.14
cluster_4	-0.14	-0.03	-0.04	-0.12	-0.10	-0.14
cluster_4	-0.12	-0.02	-0.04	-0.12	-0.08	-0.09
cluster_4	-0.17	-0.04	-0.08	-0.17	-0.12	-0.18
cluster_4	-0.18	-0.03	-0.04	-0.17	-0.11	-0.16
cluster_4	-0.16	-0.04	-0.02	-0.12	-0.10	-0.17
cluster_19	0.05	-0.01	0.05	0.04	0.04	0.04
cluster_19	0.08	0.05	0.07	0.07	0.06	0.07
cluster_19	0.00	-0.01	-0.01	-0.02	0.02	0.01
cluster_11	-0.06	-0.01	0.02	-0.07	-0.07	-0.09
cluster_11	-0.14	-0.07	-0.04	-0.15	-0.16	-0.15
cluster_11	-0.11	-0.06	-0.10	-0.11	-0.11	-0.16
cluster_12	-0.07	-0.10	-0.05	-0.08	-0.11	-0.02
cluster_12	0.00	0.08	0.12	0.01	0.08	0.02
cluster_12	-0.01	0.02	0.03	-0.01	0.04	-0.03
cluster_12	0.01	0.08	0.08	0.01	0.08	0.00
cluster_12	-0.03	0.05	0.07	-0.05	0.03	-0.02
cluster_5	-0.03	-0.14	-0.16	-0.07	-0.05	-0.05
cluster_5	-0.12	-0.19	-0.18	-0.11	-0.17	-0.12
cluster_5	0.06	-0.09	-0.07	0.04	0.03	0.03
cluster_5	0.00	-0.06	0.02	-0.01	0.00	0.00
cluster_15	-0.04	-0.03	0.00	-0.05	-0.02	0.00
cluster_15	-0.09	-0.10	-0.10	-0.12	-0.14	-0.07
cluster_5	-0.02	-0.08	-0.05	-0.01	-0.04	-0.03
cluster_5	0.13	0.00	0.05	0.10	0.12	0.08
cluster_5	-0.05	-0.06	-0.05	-0.04	-0.06	-0.05
cluster_5	0.07	-0.04	0.01	0.08	0.07	0.03
cluster_5	0.00	-0.06	0.01	-0.01	0.01	-0.02
