Cg19951.1	-0.66	-0.42	-0.10	0.13	0.35
Cg10989.1	-0.66	-0.40	-0.13	0.13	0.36
Cg15039.1	-0.67	-0.17	-0.08	-0.02	0.37
Cg23167.1	-0.70	-0.35	-0.13	0.11	0.37
Cg20015.1	-0.74	-0.24	-0.01	0.03	0.34
Cg12255.1	-0.77	-0.30	-0.18	0.20	0.32
Cg02420.1	-0.94	-0.40	-0.06	0.07	0.39
Cg12256.1	-0.95	-0.36	-0.02	0.23	0.25
Cg15171.1	-0.95	0.21	0.26	-0.21	-0.07
Cg20554.1	-0.97	-0.39	-0.02	0.29	0.20
Cg15169.1	-1.05	0.08	0.21	-0.25	0.18
Cg12002.1	-1.07	-0.45	-0.05	0.11	0.38
Cg15172.1	-1.12	0.16	0.25	-0.17	0.02
Cg20555.1	-1.13	-0.54	-0.42	0.11	0.47
Cg06769.1	-1.32	-0.51	0.04	0.16	0.33
Cg15170.1	-1.43	0.09	0.32	-0.16	-0.01
Cg00747.1	-0.22	-0.06	-0.19	-0.14	0.33
Cg00885.1	-0.37	-0.19	-0.15	-0.01	0.35
Cg01014.1	-0.27	-0.23	-0.11	0.41	-0.26
Cg01471.1	-0.20	0.00	0.12	-0.08	0.09
Cg02546.1	-0.13	-0.18	-0.14	0.07	0.23
Cg03513.1	-0.61	0.02	0.21	-0.06	0.08
Cg03768.1	-0.41	-0.24	-0.14	-0.02	0.37
Cg04272.1	-0.57	-0.18	-0.03	0.02	0.32
Cg05087.1	-0.22	-0.13	-0.13	-0.03	0.30
Cg05145.1	-0.27	-0.14	-0.11	-0.02	0.30
Cg05649.1	-0.56	-0.32	-0.03	0.00	0.36
Cg07176.1	-1.00	-0.62	-0.30	0.09	0.47
Cg07179.1	-0.58	-0.56	-0.24	0.12	0.41
Cg08783.1	-0.39	-0.25	-0.21	-0.02	0.39
Cg15006.1	0.00	0.01	0.01	0.02	-0.04
Cg16610.1	-0.74	-0.32	0.08	0.01	0.33
Cg16884.1	-0.30	-0.23	-0.11	0.08	0.29
Cg18096.1	0.02	-0.06	0.00	0.05	-0.01
Cg18367.1	-0.27	-0.16	-0.06	0.01	0.28
Cg18478.1	-0.11	-0.01	0.12	0.06	-0.11
Cg19135.1	-0.13	-0.05	-0.13	-0.09	0.26
